string,string,string,string
boxno,sn,carno,creattime
LFB7201709230001,1PQ1733002116,32000920,2017/9/23 9:21
LFB7201709230001,1PQ1733000034,32000894,2017/9/23 9:21
LFB7201709230001,1PQ1733000053,32000860,2017/9/23 9:21
LFB7201709230001,1PQ1733000083,32000915,2017/9/23 9:21
LFB7201709230001,1PQ1733000152,32000937,2017/9/23 9:21
LFB7201709230001,1PQ1733000166,32000858,2017/9/23 9:21
LFB7201709230001,1PQ1733000303,32000405,2017/9/23 9:21
LFB7201709230001,1PQ1733000454,32000942,2017/9/23 9:21
LFB7201709230001,1PQ1733000528,32000886,2017/9/23 9:21
LFB7201709230001,1PQ1733000535,32000885,2017/9/23 9:21
LFB7201709230001,1PQ1733000797,32001557,2017/9/23 9:21
LFB7201709230001,1PQ1733000810,32000871,2017/9/23 9:21
LFB7201709230001,1PQ1733000954,32000889,2017/9/23 9:21
LFB7201709230001,1PQ1733000988,32000882,2017/9/23 9:21
LFB7201709230001,1PQ1733001684,32001535,2017/9/23 9:21
LFB7201709230003,1PQ1733000061,32000408,2017/9/23 9:44
LFB7201709230003,1PQ1733000064,32000406,2017/9/23 9:44
LFB7201709230003,1PQ1733000091,32001894,2017/9/23 9:44
LFB7201709230003,1PQ1733000108,32001861,2017/9/23 9:44
LFB7201709230003,1PQ1733000123,32001558,2017/9/23 9:44
LFB7201709230003,1PQ1733000474,32001864,2017/9/23 9:44
LFB7201709230003,1PQ1733001572,32002089,2017/9/23 9:44
LFB7201709230003,1PQ1733001615,32002092,2017/9/23 9:44
LFB7201709230003,1PQ1733001631,32002053,2017/9/23 9:44
LFB7201709230003,1PQ1733001770,32002041,2017/9/23 9:44
LFB7201709230003,1PQ1733001772,32002075,2017/9/23 9:44
LFB7201709230003,1PQ1733001773,32002095,2017/9/23 9:44
LFB7201709230003,1PQ1733001775,32002081,2017/9/23 9:44
LFB7201709230003,1PQ1733002011,32002048,2017/9/23 9:44
LFB7201709230003,1PQ1733002083,32002057,2017/9/23 9:44
LFB7201709230003,1PQ1733002094,32002094,2017/9/23 9:44
LFB7201709230003,1PQ1733002192,32002103,2017/9/23 9:44
LFB7201709230003,1PQ1733002199,32002083,2017/9/23 9:44
LFB7201709230004,1PQ1733001894,32001552,2017/9/23 9:51
LFB7201709230004,1PQ1733001950,32002071,2017/9/23 9:51
LFB7201709230004,1PQ1733002113,32002056,2017/9/23 9:51
LFB7201709230004,1PQ1733002121,32001549,2017/9/23 9:51
LFB7201709230004,1PQ1733000080,32000898,2017/9/23 9:51
LFB7201709230004,1PQ1733000101,32000919,2017/9/23 9:51
LFB7201709230004,1PQ1733000258,32000879,2017/9/23 9:51
LFB7201709230004,1PQ1733000320,32000951,2017/9/23 9:51
LFB7201709230004,1PQ1733000422,32000911,2017/9/23 9:51
LFB7201709230004,1PQ1733000424,32000891,2017/9/23 9:51
LFB7201709230004,1PQ1733000870,32000927,2017/9/23 9:51
LFB7201709230004,1PQ1733001502,32002055,2017/9/23 9:51
LFB7201709230004,1PQ1733001511,32002061,2017/9/23 9:51
LFB7201709230004,1PQ1733001564,32002074,2017/9/23 9:51
LFB7201709230004,1PQ1733001622,32002062,2017/9/23 9:51
LFB7201709230004,1PQ1733001707,32002059,2017/9/23 9:51
LFB7201709230004,1PQ1733001713,32002063,2017/9/23 9:51
LFB7201709230004,1PQ1733001785,32002043,2017/9/23 9:51
LFB7201709230005,1PQ1733000003,32000870,2017/9/23 10:02
LFB7201709230005,1PQ1733000048,32001865,2017/9/23 10:02
LFB7201709230005,1PQ1733000077,32000404,2017/9/23 10:02
LFB7201709230005,1PQ1733000081,32000420,2017/9/23 10:02
LFB7201709230005,1PQ1733000211,32000945,2017/9/23 10:02
LFB7201709230005,1PQ1733000436,32001840,2017/9/23 10:02
LFB7201709230005,1PQ1733000443,32001909,2017/9/23 10:02
LFB7201709230005,1PQ1733000444,32001906,2017/9/23 10:02
LFB7201709230005,1PQ1733000447,32001860,2017/9/23 10:02
LFB7201709230005,1PQ1733000523,32001867,2017/9/23 10:02
LFB7201709230005,1PQ1733000547,32000907,2017/9/23 10:02
LFB7201709230005,1PQ1733001621,32002105,2017/9/23 10:02
LFB7201709230005,1PQ1733001634,32002108,2017/9/23 10:02
LFB7201709230005,1PQ1733001665,32002096,2017/9/23 10:02
LFB7201709230005,1PQ1733001724,32002097,2017/9/23 10:02
LFB7201709230005,1PQ1733001725,32002060,2017/9/23 10:02
LFB7201709230005,1PQ1733001774,32002114,2017/9/23 10:02
LFB7201709230005,1PQ1733002123,32002101,2017/9/23 10:02
LFB7201709230006,1PQ1733001892,32002122,2017/9/23 10:23
LFB7201709230006,1PQ1733001898,32001485,2017/9/23 10:23
LFB7201709230006,1PQ1733001952,32002140,2017/9/23 10:23
LFB7201709230006,1PQ1733002019,32002160,2017/9/23 10:23
LFB7201709230006,1PQ1733002021,32002135,2017/9/23 10:23
LFB7201709230006,1PQ1733002107,32002132,2017/9/23 10:23
LFB7201709230006,1PQ1733000015,32000415,2017/9/23 10:23
LFB7201709230006,1PQ1733000163,32001824,2017/9/23 10:23
LFB7201709230006,1PQ1733000388,32000851,2017/9/23 10:23
LFB7201709230006,1PQ1733000907,32002045,2017/9/23 10:23
LFB7201709230006,1PQ1733001129,32002148,2017/9/23 10:23
LFB7201709230006,1PQ1733001264,32002147,2017/9/23 10:23
LFB7201709230006,1PQ1733001448,32002156,2017/9/23 10:23
LFB7201709230006,1PQ1733001571,32002208,2017/9/23 10:23
LFB7201709230006,1PQ1733001574,32002125,2017/9/23 10:23
LFB7201709230006,1PQ1733001597,32002158,2017/9/23 10:23
LFB7201709230006,1PQ1733001623,32002152,2017/9/23 10:23
LFB7201709230006,1PQ1733001625,32002213,2017/9/23 10:23
LFB7201709230007,1PQ1733000208,32000850,2017/9/23 11:16
LFB7201709230007,1PQ1733000270,32000447,2017/9/23 11:16
LFB7201709230007,1PQ1733000315,32001925,2017/9/23 11:16
LFB7201709230007,1PQ1733000517,32001817,2017/9/23 11:16
LFB7201709230007,1PQ1733000534,32002124,2017/9/23 11:16
LFB7201709230007,1PQ1733000811,32000857,2017/9/23 11:16
LFB7201709230007,1PQ1733000820,32002279,2017/9/23 11:16
LFB7201709230007,1PQ1733000917,32002244,2017/9/23 11:16
LFB7201709230007,1PQ1733000994,32002235,2017/9/23 11:16
LFB7201709230007,1PQ1733001352,32001835,2017/9/23 11:16
LFB7201709230007,1PQ1733001353,32002163,2017/9/23 11:16
LFB7201709230007,1PQ1733001575,32002234,2017/9/23 11:16
LFB7201709230007,1PQ1733001678,32002137,2017/9/23 11:16
LFB7201709230007,1PQ1733001694,32002150,2017/9/23 11:16
LFB7201709230007,1PQ1733001716,32002246,2017/9/23 11:16
LFB7201709230007,1PQ1733001800,32002227,2017/9/23 11:16
LFB7201709230007,1PQ1733002016,32002285,2017/9/23 11:16
LFB7201709230007,1PQ1733002025,32002193,2017/9/23 11:16
LFB7201709230008,1PQ1733001883,32001922,2017/9/23 11:36
LFB7201709230008,1PQ1733002068,32002256,2017/9/23 11:36
LFB7201709230008,1PQ1733000009,32000412,2017/9/23 11:36
LFB7201709230008,1PQ1733000012,32000476,2017/9/23 11:36
LFB7201709230008,1PQ1733000047,32000462,2017/9/23 11:36
LFB7201709230008,1PQ1733000072,32001857,2017/9/23 11:36
LFB7201709230008,1PQ1733000159,32000457,2017/9/23 11:36
LFB7201709230008,1PQ1733000237,32000479,2017/9/23 11:36
LFB7201709230008,1PQ1733000304,32000455,2017/9/23 11:36
LFB7201709230008,1PQ1733000309,32000411,2017/9/23 11:36
LFB7201709230008,1PQ1733000322,32000464,2017/9/23 11:36
LFB7201709230008,1PQ1733000750,32002250,2017/9/23 11:36
LFB7201709230008,1PQ1733001039,32002241,2017/9/23 11:36
LFB7201709230008,1PQ1733001217,32002271,2017/9/23 11:36
LFB7201709230008,1PQ1733001295,32002264,2017/9/23 11:36
LFB7201709230008,1PQ1733001649,32002110,2017/9/23 11:36
LFB7201709230008,1PQ1733001660,32002145,2017/9/23 11:36
LFB7201709230008,1PQ1733001779,32002273,2017/9/23 11:36
LFB7201709230009,1PQ1733000076,32001851,2017/9/23 12:57
LFB7201709230009,1PQ1733000206,32001818,2017/9/23 12:57
LFB7201709230009,1PQ1733000297,32000862,2017/9/23 12:57
LFB7201709230009,1PQ1733000822,32001584,2017/9/23 12:57
LFB7201709230009,1PQ1733001229,32002228,2017/9/23 12:57
LFB7201709230009,1PQ1733001332,32002258,2017/9/23 12:57
LFB7201709230009,1PQ1733001377,32001581,2017/9/23 12:57
LFB7201709230009,1PQ1733001605,32002210,2017/9/23 12:57
LFB7201709230009,1PQ1733001669,32002239,2017/9/23 12:57
LFB7201709230009,1PQ1733001706,32002248,2017/9/23 12:57
LFB7201709230009,1PQ1733001731,32002265,2017/9/23 12:57
LFB7201709230009,1PQ1733001758,32001611,2017/9/23 12:57
LFB7201709230009,1PQ1733001807,32002058,2017/9/23 12:57
LFB7201709230009,1PQ1733001861,32002188,2017/9/23 12:57
LFB7201709230009,1PQ1733002022,32002130,2017/9/23 12:57
LFB7201709230009,1PQ1733002030,32002115,2017/9/23 12:57
LFB7201709230009,1PQ1733002125,32001564,2017/9/23 12:57
LFB7201709230009,1PQ1733002171,32001481,2017/9/23 12:57
LFB7201709230010,1PQ1733000010,32000409,2017/9/23 13:09
LFB7201709230010,1PQ1733000296,32000466,2017/9/23 13:09
LFB7201709230010,1PQ1733000502,32000472,2017/9/23 13:09
